"Designator","Search","LCSC","MPN","Package","Lib","Stock","AssemblyFlag","Type","Desc"
"J4","JST GH 5P","C133062","BM08B-GHS-TBT(LF)(SN)","SMD,P=1.25mm","expand","32343","False","Wire To Board Connector","-25???~+85??? 1 1.25mm 13.25mm 1A 1x8P 4.05mm 4.32mm 50V 8 8P Auxiliary Solder Pin GH PA9T Phosphor bronze Surface Mount,Vertical Tin UL94V-0 White SMD,P=1.25mm Wire To Board Connector ROHS"
"J4","JST GH 5P","C189891","BM05B-GHS-TBT(LF)(SN)(N)","SMD,P=1.25mm","expand","9028","False","Wire To Board Connector","-25???~+85??? 1 1.25mm 1A 1x5P 4.05mm 4.32mm 5 50V 5P 9.5mm Auxiliary Solder Pin GH PA9T Phosphor bronze Surface Mount,Vertical Tin UL94V-0 White SMD,P=1.25mm Wire To Board Connector ROHS"
"J4","JST GH 5P","C133065","SM06B-GHS-TB(LF)(SN)","SMD,P=1.25mm,Surface Mount???Right Angle","expand","170","False","Wire To Board Connector","-25???~+85??? 1 1.25mm 10.75mm 1A 1x6P 4.13mm 4.25mm 50V 6 6P Auxiliary Solder Pin GH PA9T Phosphor bronze Surface Mount, Right Angle Tin UL94V-0 White SMD,P=1.25mm,?????? Wire To Board Connector ROHS"
"J4","SM05B-GHS-TB","C189896","SM05B-GHS-TB(LF)(SN)","SMD,P=1.25mm,Surface Mount???Right Angle","expand","47985","False","Wire To Board Connector","-25???~+85??? 1 1.25mm 1A 1x5P 4.13mm 4.25mm 5 50V 5P 9.5mm Auxiliary Solder Pin GH PA9T Phosphor bronze Surface Mount, Right Angle Tin UL94V-0 White SMD,P=1.25mm,?????? Wire To Board Connector ROHS"
"J4","SM05B-GHS-TB","C20089325","SM05B-GHS-TB","SMD,P=1.25mm,Surface Mount???Right Angle","expand","0","False","Wire To Board Connector","-25???~+85??? 1 1.25mm 1A 1x5P 4.13mm 4.25mm 5 50V 5P 9.5mm Auxiliary Solder Pin GH PA9T Phosphor bronze Surface Mount, Right Angle Tin UL94V-0 White SMD,P=1.25mm,Surface Mount???Right Angle Wire To Board Connector ROHS"
"J5/J6","2.54mm pin header 1x02 vertical","C50981","2.54-1*20PStraight pin","Plugin,P=2.54mm","expand","67605","False","Pin Headers","-40???~+105??? 1 1x20P 2.54mm 20P 3A Black Brass Pin Header Through Hole ??????,P=2.54mm Pin Headers ROHS"
"J5/J6","2.54mm pin header 1x02 vertical","C41417359","HX PZ2.54-1x2P TP-YQ","SMD,P=2.54mm(Staggered pins)","expand","8142","False","Pin Headers","-40???~+105??? 1 1kV 1x2P 2.54mm 2.5mm 2P 3A 6mm Black Brass Gold Pin Header Surface Mount,Vertical SMD,P=2.54mm(Staggered pins) Pin Headers ROHS"
"J5/J6","2.54mm pin header 1x02 vertical","C5378169","PZ2.54-2*10-SMT","SMD,P=2.54mm","expand","52","False","Pin Headers","-40???~+105??? 2 2.54mm 2.54mm 2.54mm 2.5A 20P 2x10P 6mm Brass Gold Pin Header Surface Mount,Vertical SMD,P=2.54mm Pin Headers ROHS"
"J5/J6","2.54mm pin header 1x02 vertical","C335179","2.54-2*14PPin 21MM","Plugin,P=2.54mm","expand","4","False","Pin Headers","2 2.54mm 2.54mm 28P 2x14P Black Pin Header Through Hole ??????,P=2.54mm Pin Headers ROHS"
"J5/J6","2.54mm pin header 1x04 vertical","C2337","2.54-1*40PStraight pin","Plugin,P=2.54mm","expand","64437","False","Pin Headers","-25???~+85??? 1 1x40P 2.54mm 2.5mm 3A 3mm 40P 6mm Black Brass Gold Pin Header Through Hole ??????,P=2.54mm Pin Headers ROHS"
"J5/J6","2.54mm pin header 1x04 vertical","C41417361","HX PZ2.54-1x4P TP-YQ","SMD,P=2.54mm(Staggered pins)","expand","13113","False","Pin Headers","-40???~+105??? 1 1kV 1x4P 2.54mm 2.5mm 3A 4P 6mm Black Brass Gold Pin Header Surface Mount,Vertical SMD,P=2.54mm(Staggered pins) Pin Headers ROHS"
"J5/J6","2.54mm pin header 1x04 vertical","C9742","2.54-1*40PCircular Pins","Plugin,P=2.54mm","expand","5654","False","Pin Headers","-55???~+105??? 1 1x40P 2.54mm 3.5mm 3.5mm 3A 3mm 40P Black Brass Gold Round Pin Through Hole ??????,P=2.54mm Pin Headers ROHS"
"J5/J6","2.54mm pin header 1x04 vertical","C44526","2.54-1*40PPin17MM","Plugin,P=2.54mm","expand","3857","False","Pin Headers","-40???~+105??? 1 11.5mm 1x40P 2.54mm 2.5mm 3A 3mm 40P Black Brass Gold Pin Header Through Hole ??????,P=2.54mm Pin Headers ROHS"
"J5/J6","2.54mm SMT pin header 4P","C66690","2.54-2*2PPin","Plugin,P=2.54mm","expand","40130","False","Pin Headers","-55???~+105??? 2 2.54mm 2.54mm 2.5mm 3A 3mm 4P 6mm Black Brass Gold Pin Header Through Hole ??????,P=2.54mm Pin Headers ROHS"
"J5/J6","2.54mm SMT pin header 4P","C91552","2.54-1*4P????????????","Push-Pull,P=2.54mm","expand","18935","False","Pin Headers","-55???~+105??? 1 1x4P 2.54mm 3A 4P 6mm Black Brass Gold Pin Header Right Angle ??????,P=2.54mm Pin Headers ROHS"
